class,K-Neighbors precision,recall,f1-score,support
4,0.5968152866242038,0.5173937051352844,0.55427388346643,1811.0
5,0.6519944979367263,0.6570297029702971,0.6545024164118749,5050.0
7,0.927570954662735,0.927741935483871,0.9276564371947287,21700.0
10,0.9935460738615991,1.0,0.9967625899280576,11084.0
12,0.9593855766727415,0.8740512333965844,0.9147325307186298,4216.0
15,0.8622052317340321,0.8811676909569798,0.8715833351425283,22780.0
avg / total,0.8883414694808562,0.8887771792139973,0.8883190402872468,66641.0
